state,name_state,population,average_salary
AL,Alabama,5074296,44930
AK,Alaska,733583,59290
AZ,Arizona,7359197,50930
AR,Arkansas,3045637,42690
CA,California,39029342,61290
CO,Colorado,5839926,57690
CT,Connecticut,3626205,62350
DE,Delaware,1018396,54370
DC,District of Columbia,671803,89800
FL,Florida,22244823,47750
GA,Georgia,10912876,49620
HI,Hawaii,1440196,54930
ID,Idaho,1939033,44890
IL,Illinois,12582032,55130
IN,Indiana,6833037,46770
IA,Iowa,3200517,47330
KS,Kansas,2937150,46520
KY,Kentucky,4512310,44020
LA,Louisiana,4590241,44170
ME,Maine,1385340,48470
MD,Maryland,6164660,60230
MA,Massachusetts,6981974,65680
MI,Michigan,10034113,50780
MN,Minnesota,5717184,55890
MS,Mississippi,2940057,40090
MO,Missouri,6177957,47820
MT,Montana,1122867,45370
NE,Nebraska,1967923,48250
NV,Nevada,3177772,47210
NH,New Hampshire,1395231,53950
NJ,New Jersey,9261699,59980
NM,New Mexico,2113344,47040
NY,New York,19677151,63970
NC,North Carolina,10698973,48550
ND,North Dakota,779261,50430
OH,Ohio,11756058,49430
OK,Oklahoma,4019800,45620
OR,Oregon,4240137,53890
PA,Pennsylvania,12972008,51340
RI,Rhode Island,1093734,57220
SC,South Carolina,5282634,44380
SD,South Dakota,909824,42920
TN,Tennessee,7051339,45650
TX,Texas,30029572,50490
UT,Utah,3380800,49420
VT,Vermont,647064,51120
VA,Virginia,8683619,56740
WA,Washington,7785786,62020
WVWest Virginia,1775156,43420
WI,Wisconsin,5892539,48850
WY,Wyoming,581381,49760
